,Datetime,Tweet Id,Username,teks,label,clean_teks
0,2022-07-14 05:19:15+00:00,1.55e+18,kaaaa,@erinaangr @N_ShaniJKT48 Kami dari tiket gak dotcom menyediakan layanan vaksin booster murah. Dimulai dari harga 5 juta perdosis kakak sudah bisa menerima vaksin yang terjamin MUI \xe2\x80\xa6 https://t.co/ziuopCWw1O',0,tiket gak dotcom sedia layan vaksin booster murah harga juta dos kakak terima vaksin jamin mui
1,2022-07-14 05:17:13+00:00,1.55e+18,kaaaa,"@N_ShaniJKT48 Siang kapten kak ci Shani, jangan lupa vaksin booster ya, karena sekarang vaksin booster jadi syarat utama untuk berkegiatan dan bepergian \xe2\x80\xa6 https://t.co/HH2U0jFn98'",1,siang kapten ci shani lupa vaksin booster vaksin booster syarat utama giat pergi
2,2022-07-14 05:11:51+00:00,1.55e+18,Abang Fadil,"@DesiRahayuPutr1 Vaksin booster dapat melindungi masyarakat dari varian baru Covid-19, ini sudah terbukti. \xe2\x80\xa6 https://t.co/88HU1vcYJM'",1,vaksin booster lindung masyarakat varian covid bukti
3,2022-07-14 05:11:25+00:00,1.55e+18,Pesona Sriwijaya,"Aturan baru untuk sobat yang mau melakukan Perjalanan Dalam Negeri dan sudah Vaksin Booster, Tak Wajib Antigen/ PCR \xe2\x80\xa6 https://t.co/SZhzxehxmh'",1,atur jalan negeri vaksin booster wajib antigen pcr
4,2022-07-14 05:09:39+00:00,1.55e+18,abisima,@DesiRahayuPutr1 Ayo booster! Sudah teruji secara klinis bahwa vaksin ini aman dan sangat bermanfaat \xe2\x80\xa6 https://t.co/k7Qks4u8cF',1,ayo booster uji klinis vaksin aman manfaat
5,2022-07-14 05:09:13+00:00,1.55e+18,Budi Jaya,RT @KikiDWibowo: #IndonesiaSehatIndonesiaHebat \n Vaksin Booster untuk Melindungi seluruh Masyarakat Indonesia. \n Jangan Ragu untuk Vaksin. \n\xe2\x80\xa6',1,vaksin booster lindung masyarakat indonesia ragu vaksin
6,2022-07-14 05:08:07+00:00,1.55e+18,kay,Sumpah ya efek vaksin booster di gue tidak berasa sakit sama sekali cuma kantuk maksimal. \xe2\x80\xa6 https://t.co/oYMOSYq16O',1,sumpah efek vaksin booster asa sakit kantuk maksimal
7,2022-07-14 05:06:21+00:00,1.55e+18,Tania Zaina,"'@AnkomFams Syarat Terbaru Perjalanan Harus Vaksin Booster, Berikut Syarat dan Dosis Penerima Vaksin Booster | Ayo Prokes Ketat'",1,syarat baru jalan vaksin booster syarat dosis terima vaksin booster ayo prokes ketat
8,2022-07-14 05:05:59+00:00,1.55e+18,Kakatua Timur,Banyak Manfaat Vaksin Booster yang perlu diketahui oleh masyarakat https://t.co/NOLvx9eSpG',1,manfaat vaksin booster masyarakat
9,2022-07-14 05:05:51+00:00,1.55e+18,detikHealth,"Pemerintah resmi mengeluarkan syarat perjalanan terbaru, termasuk mewajibkan masyarakat untuk divaksin booster. \xe2\x80\xa6 https://t.co/ZitEFHLzBh'",1,perintah resmi keluar syarat jalan baru wajib masyarakat vaksin booster
10,2022-07-14 05:01:32+00:00,1.55e+18,cindy goldstein,"@PapuaNKRI2 Cegah Varian Baru Covid-19 Merajalela, Ganjar Pranowo Genjot Vaksin Booster \n\nhttps://t.co/E99CCJQKEn'",1,cegah varian covid rajalela ganjar pranowo genjot vaksin booster
11,2022-07-14 04:54:02+00:00,1.55e+18,Pablo Gilberto,Booster vaksin covid19 akan terus di berlakukan sampai kalian mati. Karena selain bisnis tujuan mereka juga adalah memuluskan agenda globalis (Bill Gates dkk) untuk mengurangi populasi \xe2\x80\xa6 https://t.co/Zm6iNUcVoP',0,booster vaksin covid laku mati bisnis tuju mulus agenda global bill gates kurang populasi
12,2022-07-14 04:49:32+00:00,1.55e+18,Jaya Purba,"'Vaksin booster lindungi masyarakat dari varian baru, Ayo prokes ketat https://t.co/fzpPrKZ75M'",1,vaksin booster lindung masyarakat varian ayo prokes ketat
13,2022-07-14 04:34:43+00:00,1.55e+18,Behemoth🦖,"@pal4kotak Booster sudah jadi syarat untuk perjalanan, jadi tunggu apalagi mari lindungi diri sendiri dan sekitar \xe2\x80\xa6 https://t.co/eOvDwNuZRi'",1,booster syarat jalan tunggu mari lindung
14,2022-07-14 04:29:23+00:00,1.55e+18,kaaaa,"@erinaangr Vaksin booster sekarang jadi syarat utama untuk berbagai kegiatan dan bepergian, jadi jangan lupa vaksin \xe2\x80\xa6 https://t.co/OsBCHCCRqJ'",1,vaksin booster syarat utama giat pergi lupa vaksin
15,2022-07-14 04:28:08+00:00,1.55e+18,kaaaa,"@erinaangr @agnsfitri Vaksin booster sekarang jadi syarat utama berbagai kegiatan dan bepergian, jadi jangan lupa \xe2\x80\xa6 https://t.co/qGb0zw3wqq'",1,vaksin booster syarat utama giat pergi lupa
16,2022-07-14 04:26:04+00:00,1.55e+18,Febrian Mutia,"Dorong Vaksin Booster, Pemerintah Siap Berlakukan Aturan Baru https://t.co/21uDYKEbHz https://t.co/J0bn8x2WZi'",1,dorong vaksin booster perintah laku atur
17,2022-07-14 04:20:33+00:00,1.55e+18,Lord Zuko,Dinkes Bandung Ajak Warga Vaksin Booster Cegah Varian Baru Omicron \nhttps://t.co/1kEvZAqbL8\n',1,dinkes bandung ajak warga vaksin booster cegah varian omicron
18,2022-07-14 04:20:17+00:00,1.55e+18,Lord Zuko,"Syarat Terbaru Perjalanan Harus Vaksin Booster, Berikut Syarat dan Dosis Penerima Vaksin Booster \nhttps://t.co/J7j1g2wLtq\n'",1,syarat baru jalan vaksin booster syarat dosis terima vaksin booster
19,2022-07-14 04:18:30+00:00,1.55e+18,Indah Sridevi,RT @kalla_jengking: Munculnya varian baru Covid-19 harus diwaspadai meskipun varian terbaru muncul tidak seganas varian sebelumnya. \n\n\xe2\x80\xa6',1,muncul varian covid waspada varian baru muncul ganas varian
20,2022-07-14 04:18:20+00:00,1.55e+18,Behemoth🦖,"@agnestoyyy @A_ZeeJKT48 Booster sudah jadi syarat untuk perjalanan, jadi tunggu apalagi mari lindungi diri sendiri \xe2\x80\xa6 https://t.co/rhJYYs2Yv9'",1,booster syarat jalan tunggu mari lindung
21,2022-07-14 04:15:43+00:00,1.55e+18,Drawing ur future,Beli sertifikat vaksin booster di mana y wkwk',0,beli sertifikat vaksin booster wkwk
22,2022-07-14 04:13:37+00:00,1.55e+18,Anang Susanto,RT @detikcom: Dinkes Kota Malang menyebut warga cenderung enggan mengikuti vaksinasi dosis ketiga atau booster. \xe2\x80\xa6',1,dinkes kota malang sebut warga cenderung enggan ikut vaksinasi dosis tiga booster
23,2022-07-14 04:08:04+00:00,1.55e+18,Jawa Pos,Naik Kereta Api Harus Sudah Vaksin Booster https://t.co/rIVOmvpGQz',1,kereta api vaksin booster
24,2022-07-14 04:01:06+00:00,1.55e+18,Riau Aktual,"'RT @medianaFS: Masih Dibawah 30 persen, Capaian Vaksin Booster di Pekanbaru Rendah https://t.co/021uCcosaE'",1,bawah persen capai vaksin booster pekanbaru rendah
25,2022-07-14 03:59:21+00:00,1.55e+18,Dadang Sudirman,@PositivCovid Dengan sudah dilakukannya vaksin ketiga Booster maka masyarakat lebih kebal menghadapi virus Covid 19 varian baru.',1,laku vaksin tiga booster masyarakat kebal hadap virus covid varian
26,2022-07-14 03:54:03+00:00,1.55e+18,dinda fenti,Bandung Hari Ini Berlaku Wajib Vaksin Booster di Ruang Publik | Ayo Prokes Ketat https://t.co/k1SC0KXAoe',1,bandung laku wajib vaksin booster ruang publik ayo prokes ketat
27,2022-07-14 03:53:28+00:00,1.55e+18,dinda fenti,"Vaksin Booster Baru Moderna Diklaim Ampuh Lawan Omicron, Bisa Disuntikkan Setahun Sekali | Ayo Prokes Ketat https://t.co/K8A1SEp8xi.'",1,vaksin booster moderna klaim ampuh lawan omicron suntik tahun ayo prokes ketat
28,2022-07-14 03:52:03+00:00,1.55e+18,Lilla Fitri,Vaksin Lengkap &amp; Booster Menjadi Upaya Mencegah Kasus Varian Baru \n\n Ayo Prokes Ketat https://t.co/hYtLTC8Ix0',1,vaksin lengkap booster upaya cegah varian ayo prokes ketat
29,2022-07-14 03:51:25+00:00,1.55e+18,DINAS KESEHATAN PROVINSI BENGKULU,Ayo Vaksin ketiga (Booster) untuk melindungi diri dan keluarga dari Covid_19. https://t.co/re75TYjGGP',1,ayo vaksin tiga booster lindung keluarga covid
30,2022-07-14 03:51:16+00:00,1.55e+18,Nadia Bahari,Wajib vaksin booster \n\n Ayo Prokes Ketat https://t.co/sIssZ7q1au',1,wajib vaksin booster ayo prokes ketat
31,2022-07-14 03:50:21+00:00,1.55e+18,nurul,"RT @healthy13245678: Dari kemenkes bilang, booster harus diambil minimal seminggu sebelum bepergian, jangan ambil booster sehari sebelum keberangkatan \xe2\x80\xa6'",1,kemenkes bilang booster ambil minimal minggu pergi ambil booster hari berangkat
32,2022-07-14 03:48:47+00:00,1.55e+18,Nurdian,satgas: vaksin booster lindungi masyarakat dari varian baru \n Ayo Prokes Ketat https://t.co/NejppyLGh6',1,satgas vaksin booster lindung masyarakat varian ayo prokes ketat
33,2022-07-14 03:43:06+00:00,1.55e+18,Lilla Fitri,"Vaksin Sudah Teruji Bermanfaat, Warga Ayo Segera Vaksin Booster \n\n https://t.co/JMH6fKwATZ'",1,vaksin uji manfaat warga ayo vaksin booster
34,2022-07-14 03:34:08+00:00,1.55e+18,Info Gms,"Update COVID-19 Di Indonesia: Kasus Baru Melesat Naik, Masyarakat Diminta Segera Vaksin Booster \n https://t.co/uU8Bp5Ofe6'",1,update covid indonesia lesat masyarakat vaksin booster
35,2022-07-14 03:33:06+00:00,1.55e+18,moongoddesss,baru selesai vaksin booster sakit sekali mau nangis \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,selesai vaksin booster sakit nang
36,2022-07-14 03:32:45+00:00,1.55e+18,Dinas Kesehatan,RT @halo_bandung: Hayu ah kita vaksin booster supaya aman dan nyaman dalam beraktivitas. \xe2\x80\xa6',1,vaksin booster aman nyaman aktivitas
37,2022-07-14 03:30:37+00:00,1.55e+18,ETOS INDONUSA,Lakukan booster vaksin sesuai anjuran pemerintah untuk meminimalisir penularan covid-19. \n\n\xe2\x80\xa6 https://t.co/3Oows7O61J',1,laku booster vaksin sesuai anjur perintah meminimalisir tular covid
